millis,stamp,datetime,degree,distance
174033,1694973548,2023/9/17 17:59,162,0
175006,1694973549,2023/9/17 17:59,154,17
175040,1694973549,2023/9/17 17:59,153,17
176019,1694973550,2023/9/17 17:59,101,18
177011,1694973551,2023/9/17 17:59,50,40
178018,1694973552,2023/9/17 17:59,1,22
179008,1694973553,2023/9/17 17:59,49,26
180004,1694973554,2023/9/17 17:59,101,18
180038,1694973554,2023/9/17 17:59,102,17
181014,1694973555,2023/9/17 17:59,154,0
182006,1694973556,2023/9/17 17:59,166,18
183007,1694973557,2023/9/17 17:59,113,17
184005,1694973558,2023/9/17 17:59,61,25
185013,1694973559,2023/9/17 17:59,11,0
186012,1694973560,2023/9/17 17:59,40,40
187008,1694973561,2023/9/17 17:59,88,25
188006,1694973562,2023/9/17 17:59,141,16
188040,1694973562,2023/9/17 17:59,142,16
189011,1694973563,2023/9/17 17:59,178,1190
190007,1694973564,2023/9/17 17:59,126,16
191011,1694973565,2023/9/17 17:59,73,24
192011,1694973566,2023/9/17 17:59,24,22
193013,1694973567,2023/9/17 17:59,28,40
194001,1694973568,2023/9/17 17:59,78,24
194034,1694973568,2023/9/17 17:59,79,7
195001,1694973569,2023/9/17 17:59,130,16
195035,1694973569,2023/9/17 17:59,131,16
197003,1694973571,2023/9/17 17:59,134,16
197036,1694973571,2023/9/17 17:59,133,0
198003,1694973572,2023/9/17 17:59,82,24
198036,1694973572,2023/9/17 17:59,81,0
199015,1694973573,2023/9/17 17:59,32,40
200001,1694973574,2023/9/17 17:59,19,22
200035,1694973574,2023/9/17 17:59,20,21
201013,1694973575,2023/9/17 17:59,69,24
202003,1694973576,2023/9/17 17:59,121,16
202037,1694973576,2023/9/17 17:59,122,9
203017,1694973577,2023/9/17 17:59,174,19
204014,1694973578,2023/9/17 17:59,141,16
205015,1694973579,2023/9/17 17:59,88,24
206016,1694973580,2023/9/17 17:59,37,39
207005,1694973581,2023/9/17 17:59,14,21
208004,1694973582,2023/9/17 17:59,60,24
208037,1694973582,2023/9/17 17:59,61,0
